timestamp,event,TCP_pose,joint_angles,TCP_force
0.6880000000001019,End B3 on A,"[0.33809924797353513, 0.7701162067818363, 0.1053201380729364, -1.3692650333273324, -2.3358658737060383, 1.3277602070769485]","[-2.221926514302389, -0.12438054502520757, 0.3626621405230921, -0.888666109447815, -1.5508702437030237, -2.740530316029684]","[-1.1069950405492353, 1.0022402188549442, -0.43516829121566636, -0.06789867844289005, -0.20102969409081126, -0.20704230522855216]"
0.6959999999999127,Start C#4 on A,"[0.33827041836732, 0.7697462821580859, 0.10548712520750456, -1.369186395279384, -2.3358781868603935, 1.3277426257052172]","[-2.2223385016070765, -0.1261921685985108, 0.3660486380206507, -0.8902344864657898, -1.5511820952044886, -2.7408371607409876]","[-1.2395213476328668, 1.5716748300334669, -0.8203505658842211, -0.07377743249301874, -0.19893314676104265, -0.20207917893846888]"
0.704000000000633,End C#4 on A,"[0.3384920399486055, 0.7693230551861449, 0.10563443030189415, -1.3691636995584051, -2.3357829786932305, 1.3278410733961283]","[-2.222840134297506, -0.12812657774005132, 0.36973697343935186, -0.8918935221484681, -1.55153733888735, -2.7411368528949183]","[-1.3456336934931559, 1.3967832856740787, -0.6621909489357277, -0.07627276557981426, -0.20335378118196962, -0.20069038698900044]"
0.7120000000004438,Start D4 on A,"[0.338668061714685, 0.7688899761080199, 0.105789956415887, -1.3690134071127256, -2.335801398593201, 1.3279645056804417]","[-2.223299805318014, -0.1301933091929932, 0.37368470827211553, -0.8936792773059388, -1.5519450346576136, -2.7414918581592005]","[-1.0460029703008096, 0.9692642971760995, -0.43483898796589365, -0.05983003540251826, -0.19498538849467717, -0.21188097845431048]"
0.7200000000002547,End D4 on A,"[0.33890199216593997, 0.768399466997979, 0.10594868490137249, -1.3689492668204353, -2.3356471909789445, 1.328222044687823]","[-2.223861042653219, -0.13242705286059575, 0.377967659627096, -0.8955191534808655, -1.5523651281939905, -2.74182373682131]","[-0.9769260070296337, 1.21701124972225, -0.6451602796385251, -0.0582480849799267, -0.18976359183275762, -0.21517491720467757]"
0.7280000000000655,Start B3 on A,"[0.3391322764880591, 0.7678893968255276, 0.10611596810526036, -1.3688502739965138, -2.3355423819996437, 1.3284222188991515]","[-2.2244299093829554, -0.13475366056475835, 0.38242942491640264, -0.8974856299212952, -1.55280048051943, -2.742195431386129]","[-1.151189897135329, 1.4537940516750139, -0.698118326783558, -0.049875317346438505, -0.18995494346157954, -0.2134588407093601]"
0.7359999999998763,End B3 on A,"[0.339340312197711, 0.767355176540353, 0.10624357865494446, -1.3685990389722542, -2.335406360299353, 1.3287599844272235]","[-2.2249887625323694, -0.13714392602954106, 0.3871343771563929, -0.8995163601687928, -1.5532439390765589, -2.742639128361837]","[-0.6865887357168112, 1.4683863423908048, -0.9462409734473088, -0.053537705499046295, -0.1908480189662623, -0.21894543364169367]"
0.7440000000005966,Start A3 on A,"[0.3396336078050789, 0.766784125970779, 0.10648783947790799, -1.3684950148697246, -2.3353224427135744, 1.328888438624378]","[-2.2256577650653284, -0.13967712343249516, 0.3918355146991175, -0.9015597266009827, -1.5537427107440394, -2.743089739476339]","[-1.1651930605133662, 0.39368436844641475, -0.641883849431119, -0.06082323236758888, -0.19485175187599246, -0.20808083304555125]"
0.7520000000004075,End A3 on A,"[0.33992016452282514, 0.7661966309535342, 0.10675817631308679, -1.3684406672961362, -2.335221371141166, 1.3290206735019232]","[-2.2263358275042933, -0.14234168947253423, 0.39674121538271123, -0.9036786121181031, -1.5542429129229944, -2.7435103098498743]","[-0.9409915066407102, 0.4769272073260671, -0.7664990600102488, -0.055543256449662515, -0.1925287894903969, -0.21840609075793752]"
0.7600000000002183,Start A3 on A,"[0.3401834924392357, 0.7656040233846261, 0.10704002944739191, -1.3683369528496692, -2.3352007393153653, 1.329062527688048]","[-2.2269919554339808, -0.14506693304095464, 0.4017522970782679, -0.90590854108844, -1.5547431151019495, -2.743969504033224]","[-1.1271033897401592, 1.0400565353436302, -0.8225494727145777, -0.06947154221291409, -0.19314671628883995, -0.20194036707955992]"
0.7680000000000291,End A3 on A,"[0.34050137771505384, 0.7649587941820362, 0.10733297035124398, -1.3682147950863726, -2.3351234252665085, 1.3291787874333278]","[-2.227736298237936, -0.14789219320330815, 0.4069441000567835, -0.9081556361964722, -1.5552986303912562, -2.7444804350482386]","[-0.6512010476683097, 0.7231650527694276, -0.636975213182599, -0.06250187932106761, -0.19596690267301986, -0.21665463917055938]"
0.7760000000007494,Start transition on A-D,"[0.3407865020037483, 0.7643056354459454, 0.1076499263224019, -1.3681227423893074, -2.3350230116379813, 1.329374339773065]","[-2.228460137044088, -0.15085645139727788, 0.4123571554767054, -0.9104409974864502, -1.5558589140521448, -2.7449408213244837]","[-1.07426771125907, 0.8117048328061205, -1.0167725844535762, -0.052583785086893514, -0.19070916422054915, -0.22070346324960638]"
0.7840000000005602,End transition on A-D,"[0.3410847561849596, 0.7636271564003816, 0.10794559940524776, -1.3679215660590582, -2.335005179321359, 1.329484769967467]","[-2.229206387196676, -0.15380986154589849, 0.41781646410097295, -0.9128353160670777, -1.556450668965475, -2.745507542287008]","[-1.012676539526572, 0.5914026545658613, -0.8447941874767029, -0.049930270407686855, -0.19353000782245955, -0.2300535693457397]"
0.7920000000003711,Start G3 on D,"[0.3413832020939077, 0.7629318904243713, 0.10825164289623562, -1.3677543620474957, -2.335019364490743, 1.3296496316098285]","[-2.229968849812643, -0.15682514131579595, 0.42336827913393194, -0.9152490657619019, -1.557110611592428, -2.746046845112936]","[-0.7471061395257892, 0.2266268749459046, -0.8264351596707058, -0.05068991652320767, -0.19338170542556093, -0.22723314231786207]"
0.9440000000004147,End G3 on D,"[0.3494087147163477, 0.7451399095353214, 0.11563284308847618, -1.363691640931492, -2.333171773725052, 1.3341810214286765]","[-2.250101391469137, -0.2232697767070313, 0.544138256703512, -0.9656496805003663, -1.5729840437518519, -2.7600184122668665]","[-0.5114015547927532, 0.27539851404968146, -0.3308699552238216, -0.03880487454605512, -0.18009903897186208, -0.21374495379513225]"
0.9520000000002256,Start G3 on D,"[0.3498854867137059, 0.7440858055686504, 0.1160469254571638, -1.3634209448056693, -2.332993357899357, 1.3345247293603315]","[-2.251310173665182, -0.2267417472651978, 0.5503729025470179, -0.9681155246547242, -1.57391864458193, -2.760857884083883]","[-0.9202613624247863, 0.5460349693266446, -0.3858284269934886, -0.044958907210864194, -0.19164700417378577, -0.21846690140213088]"
0.9600000000000364,End G3 on D,"[0.3503628174664497, 0.7430443358743036, 0.1164734756544728, -1.363237684993167, -2.33284807342617, 1.3347774343245926]","[-2.2525156180011194, -0.23016329229388433, 0.5564644972430628, -0.9705673021129151, -1.5748470465289515, -2.761653725300924]","[-1.1046493382499118, 0.21377141005285016, 0.12586640562443013, -0.03668574000142011, -0.18707798565203052, -0.2130463203261164]"
0.9680000000007567,Start F#3 on D,"[0.350815870592763, 0.7420013209744971, 0.11687600675406026, -1.3629787584657072, -2.3327270645631004, 1.3351184188686722]","[-2.2536986509906214, -0.2335532468608399, 0.5625508467303675, -0.9729923170856019, -1.5758088270770472, -2.7624674479113978]","[-1.057898124127348, 0.5790361216464665, 0.004471742988885655, -0.057337157607596695, -0.19031138225085065, -0.2045391085911949]"
0.9760000000005675,End F#3 on D,"[0.35128547443567354, 0.7409405882383688, 0.11728859728964358, -1.3627341652368925, -2.3325478769572845, 1.3355278935548198]","[-2.254914108906881, -0.23695846021685796, 0.5686381498919886, -0.9753499192050477, -1.5767839590655726, -2.763275686894552]","[-1.3127953403572412, 0.6281765170333913, -0.0399738265033974, -0.05120078129519684, -0.188762066575677, -0.19544291197455296]"
0.9840000000003783,Start F#3 on D,"[0.35176187880166204, 0.7398744741149799, 0.11771073204708768, -1.3624962338689652, -2.3324127109536708, 1.3358410049540566]","[-2.2561400572406214, -0.24034853399310308, 0.5746725241290491, -0.9777385157397767, -1.5777595678912562, -2.764106337224142]","[-0.7644836072483647, 0.21744414373141618, -0.3575577589325837, -0.060197294617779576, -0.18124143326451486, -0.18838580595914803]"
0.9920000000001892,End F#3 on D,"[0.35225192441191966, 0.7388180965400042, 0.11816267333790303, -1.362258442757726, -2.3323229965110244, 1.3360275415833145]","[-2.2573702971087855, -0.2436850827983399, 0.5805214087115687, -0.9800790113261719, -1.578717056904928, -2.764967743550436]","[-0.8611959423539911, 0.6355562959525703, -0.17745862353214925, -0.048979448878166396, -0.18413865190922724, -0.19142904047991532]"
1.0,Start E3 on D,"[0.3527407988181028, 0.737757041082102, 0.11860988287301896, -1.3620335367424858, -2.3321622060392753, 1.3363404739487028]","[-2.2586081663714808, -0.24700720727954106, 0.5863435904132288, -0.9823184770396729, -1.5796845594989222, -2.765796486531393]","[-1.6620845197537852, 0.5273794872499455, -0.019526852631517322, -0.060396442273274814, -0.19968418504236607, -0.196196639578442]"
1.0080000000007203,End E3 on D,"[0.3532003031717435, 0.7367148719018023, 0.11903430737299725, -1.3617996484337151, -2.332096889783646, 1.3365766643005679]","[-2.2598045508014124, -0.25025279939685063, 0.5920661131488245, -0.98460807025943, -1.5806592146502894, -2.7666216532336634]","[-1.0954939121769613, 0.967199668034549, -0.16220936580117318, -0.0578009792589928, -0.19914912809779922, -0.21046174010819357]"
1.0160000000005311,Start D3 on D,"[0.35370017372507545, 0.7356364334771033, 0.11946260127106817, -1.3616265485830374, -2.331891392494337, 1.3369299528179848]","[-2.261073414479391, -0.25353725374255376, 0.5978525320636194, -0.9868244689754029, -1.581641976033346, -2.767423216496603]","[-1.1612709845997788, 0.829994536781358, -0.17951566476345093, -0.06512406958864297, -0.20351956647144623, -0.22358167142416263]"
1.024000000000342,End D3 on D,"[0.35417009665940813, 0.7345822582183898, 0.11986899975121637, -1.3613940600868495, -2.331721745425986, 1.3373341936926595]","[-2.2622955481158655, -0.25672347963366704, 0.6034882704364222, -0.9889625471881409, -1.5826333204852503, -2.7682247797595423]","[-1.1523450711884144, 0.6309712556299649, -0.37345805246656993, -0.07285709522736067, -0.21389629968021914, -0.21326286456891122]"
1.0320000000001528,Start E3 on D,"[0.3546753136071604, 0.7335137772601895, 0.12027617585824509, -1.3611566045262982, -2.331572815278007, 1.33767732041398]","[-2.2635610739337366, -0.25985999525103765, 0.609021011983053, -0.9910870951465149, -1.5836475531207483, -2.76906925836672]","[-1.387250748974445, 0.7058099450626509, -0.30233338910531515, -0.07322958735273305, -0.20456462996927738, -0.2086015955792665]"
1.0399999999999636,End E3 on D,"[0.3551338091748048, 0.7324683756947563, 0.12069460992579664, -1.3608892204833176, -2.331518415265951, 1.337931447126137]","[-2.264764134083883, -0.26298971593890386, 0.6145127455340784, -0.9932523530772706, -1.5846427122699183, -2.7699156443225306]","[-1.1402325678106355, 0.8071228987476194, -0.5989406300806797, -0.0703530262672111, -0.21217203309505175, -0.2059524293187206]"
1.048000000000684,Start F#3 on D,"[0.35563082621111525, 0.7314120481227426, 0.12116333412303901, -1.3606893854388702, -2.3314605079889614, 1.338114479892469]","[-2.266015354787008, -0.2661382716945191, 0.6199072043048304, -0.9953528207591553, -1.585649315510885, -2.7707605997668665]","[-1.241239305394104, 1.203504619476432, -0.6102716766144546, -0.07076945104543084, -0.20078337230976484, -0.19059119165618807]"
1.0560000000004948,End F#3 on D,"[0.35615158025930554, 0.730340486649758, 0.12161323578494687, -1.3605389861722013, -2.331292995770111, 1.3382900379009472]","[-2.2673047224627894, -0.2692561906627198, 0.6252906958209437, -0.9974485200694581, -1.5866015593158167, -2.771597925816671]","[-1.0391365751247128, 1.0981920673574315, -0.728358408634018, -0.067430693749056, -0.19944062129547885, -0.1955200608115217]"
1.0640000000003056,Start D3 on D,"[0.35662966554236386, 0.7292740018737536, 0.12203538915463544, -1.3603130353961046, -2.331101144250525, 1.3386137210715277]","[-2.2685511747943323, -0.272361235027649, 0.630716625844137, -0.9994974893382569, -1.5875604788409632, -2.7724269072162073]","[-0.5162466605119577, 0.9838316979283878, -0.5049079513203105, -0.05461120956576329, -0.19148358944989496, -0.2080734815514272]"
1.0720000000001164,End D3 on D,"[0.3571217536910462, 0.7282127629461067, 0.12251639294297358, -1.360120663907977, -2.3309513293175206, 1.3388783419216828]","[-2.269809071217672, -0.27548332632098393, 0.6360166708575647, -1.0014575880816956, -1.5885394255267542, -2.773252312337057]","[-0.8447277321884674, 0.7033214503530558, -0.672307566763899, -0.05751653893078901, -0.1949866659503791, -0.22432959596339166]"
1.0799999999999272,Start transition on D-A,"[0.3575994919544125, 0.7271608935360956, 0.12297221743307271, -1.3599255562575916, -2.330873636118461, 1.3391447927083446]","[-2.271048370991842, -0.2785373491099854, 0.6412351767169397, -1.0034294885447999, -1.5895622412311, -2.7740657965289515]","[-1.063537051434893, 0.5383127942583661, -0.7150055838223504, -0.05352820455885826, -0.19457874031148356, -0.2259121647133686]"
1.0880000000006476,End transition on D-A,"[0.35808885984705874, 0.726095989859543, 0.12336649920792603, -1.3596067809334695, -2.330666910966448, 1.3395637208449829]","[-2.2723053137408655, -0.2814876598170777, 0.6464083830462855, -1.0053081673434754, -1.590553108845846, -2.7749417463885706]","[-0.8576135135808468, -0.5348467085449925, -0.5355436911470302, -0.05769752631406544, -0.21273631126451345, -0.23503761805314122]"
1.0960000000004584,Start B3 on A,"[0.3585624127437627, 0.725053151310582, 0.12380170324744166, -1.3594408844702037, -2.330604892568714, 1.3396841576689706]","[-2.273536030446188, -0.2844538253596802, 0.6515052954303187, -1.0073359173587342, -1.5915172735797327, -2.775763813649313]","[-0.6713758414030059, 0.30386071119306773, -0.9637761367488895, -0.07074451836679371, -0.2043137555130409, -0.22058312245145267]"
1.1040000000002692,End B3 on A,"[0.35904249541237904, 0.7240005459692154, 0.12424871912213944, -1.3592511218444854, -2.3305466617854256, 1.3398980989121114]","[-2.2747824827777308, -0.28742630899462895, 0.6565755049334925, -1.0092791479877015, -1.5925386587726038, -2.7765889803515833]","[-0.273066940002703, 0.10982141230872178, -1.2506606266368632, -0.08022765713324145, -0.19871010182612012, -0.21061627870478217]"
